2019-03-11: Replaced: 377, skipped: 6, added new: 1010, added affiliation: 677, new unknown: 0
2019-03-26: Replaced: 267, skipped: 0, added new: 448, added affiliation: 488, new unknown: 0
2019-04-15: Replaced: 238, skipped: 0, added new: 499, added affiliation: 470, new unknown: 0
2019-04-27: Replaced: 64, skipped: 0, added new: 118, added affiliation: 129, new unknown: 0
2019-06-13: Replaced: 150, skipped: 1, added new: 242, added affiliation: 311, new unknown: 0
2019-06-29: Replaced: 161, skipped: 0, added new: 315, added affiliation: 303, new unknown: 6
2019-07-29: Replaced: 200, skipped: 0, added new: 407, added affiliation: 457, new unknown: 0
2019-07-29: Replaced: 163, skipped: 1, added new: 291, added affiliation: 365, new unknown: 0
2019-07-29: Replaced: 363, skipped: 1, added new: 698, added affiliation: 822, new unknown: 0
2019-08-20: Replaced: 221, skipped: 12, added new: 218, added affiliation: 547, new unknown: 0
2019-08-20: Replaced: 8, skipped: 0, added new: 25, added affiliation: 22, new unknown: 0(+)
2019-08-20: Replaced: 229, skipped: 12, added new: 243, added affiliation: 569, new unknown: 0
2019-09-18: Replaced: 155, skipped: 3, added new: 185, added affiliation: 360, new unknown: 0
2019-10-02: Replaced: 253, skipped: 0, added new: 465, added affiliation: 571, new unknown: 0
2019-10-04: Replaced: 52, skipped: 0, added new: 107, added affiliation: 143, new unknown: 0
2019-10-08: Replaced: 25, skipped: 0, added new: 39, added affiliation: 79, new unknown: 0
2019-10-23: Replaced: 119, skipped: 0, added new: 265, added affiliation: 294, new unknown: 0
2019-10-26: Replaced: 115, skipped: 0, added new: 144, added affiliation: 224, new unknown: 0
2019-11-02: Replaced: 121, skipped: 0, added new: 149, added affiliation: 270, new unknown: 0
2019-11-05: Replaced: 28, skipped: 0, added new: 39, added affiliation: 62, new unknown: 0
2019-11-15: Replaced: 250, skipped: 0, added new: 383, added affiliation: 660, new unknown: 0
2019-12-06: Replaced: 111, skipped: 0, added new: 179, added affiliation: 288, new unknown: 0
2019-12-06: Replaced: 50, skipped: 0, added new: 40, added affiliation: 135, new unknown: 0
2019-12-13: Replaced: 153, skipped: 0, added new: 236, added affiliation: 425, new unknown: 0
2019-12-16: Replaced: 48, skipped: 0, added new: 114, added affiliation: 117, new unknown: 0
2019-12-19: Replaced: 5, skipped: 0, added new: 20, added affiliation: 12, new unknown: 0
2019-12-20: Replaced: 0, skipped: 0, added new: 674, added affiliation: 0, new unknown: 0
2020-01-17: Replaced: 706, skipped: 19, added new: 994, added affiliation: 1855, new unknown: 0
2020-01-31: Replaced: 812, skipped: 0, added new: 121, added affiliation: 1961, new unknown: 0
2020-02-17: Replaced: 117, skipped: 0, added new: 236, added affiliation: 272, new unknown: 0
2020-02-19: Replaced: 57, skipped: 0, added new: 112, added affiliation: 144, new unknown: 0
2020-02-28: Replaced: 281, skipped: 1, added new: 584, added affiliation: 714, new unknown: 0
2020-02-29: Replaced: 402, skipped: 3, added new: 85, added affiliation: 962, new unknown: 0
2020-03-13: Replaced: 81, skipped: 3, added new: 131, added affiliations: 458, new unknown: 0
2020-03-16: Replaced: 7, skipped: 0, added new: 12, added affiliation: 20, new unknown: 0
2020-03-27: Replaced: 154, skipped: 0, added new: 219, added affiliation: 440, new unknown: 0
2020-04-01: Replaced: 85, skipped: 0, added new: 162, added affiliation: 184, new unknown: 0
2020-04-07: Replaced: 10, skipped: 0, added new: 48, added affiliation: 25, new unknown: 0
2020-04-15: Replaced: 283, skipped: 1, added new: 562, added affiliation: 754, new unknown: 0
2020-04-16: Replaced: 159, skipped: 5, added new: 282, added affiliation: 418, new unknown: 0
2020-04-28: Replaced: 240, skipped: 0, added new: 415, added affiliation: 632, new unknown: 0
2020-05-25: Replaced: 506, skipped: 7, added new: 964, added affiliation: 1317, new unknown: 0
2020-06-01: Replaced: 164, skipped: 2, added new: 299, added affiliation: 448, new unknown: 0
2020-06-15: Replaced: 403, skipped: 7, added new: 753, added affiliation: 1063, new unknown: 0
2020-06-18: Replaced: 87, skipped: 1, added new: 179, added affiliation: 244, new unknown: 0
2020-06-30: Replaced: 209, skipped: 0, added new: 500, added affiliation: 596, new unknown: 0
2020-07-13: Replaced: 268, skipped: 1, added new: 552, added affiliation: 767, new unknown: 0
2020-07-20: Replaced: 191, skipped: 0, added new: 322, added affiliation: 459, new unknown: 0
2020-07-21: Replaced: 42, skipped: 0, added new: 19, added affiliation: 104, new unknown: 0
2020-07-24: Replaced: 110, skipped: 6, added new: 177, added affiliation: 256, new unknown: 0
2020-08-06: Replaced: 303, skipped: 4, added new: 639, added affiliation: 816, new unknown: 0
2020-08-24: Replaced: 253, skipped: 8, added new: 57, added affiliation: 619, new unknown: 0
2020-08-31: Replaced: 132, skipped: 0, added new: 328, added affiliation: 334, new unknown: 0
2020-09-08: Replaced: 144, skipped: 0, added new: 332, added affiliation: 350, new unknown: 0
2020-09-16: Replaced: 114, skipped: 1, added new: 181, added affiliation: 420, new unknown: 0
2020-09-22: Replaced: 203, skipped: 0, added new: 290, added affiliation: 574, new unknown: 0
2020-09-24: Replaced: 60, skipped: 0, added new: 110, added affiliation: 135, new unknown: 0
2020-09-24: Replaced: 19, skipped: 0, added new: 32, added affiliation: 46, new unknown: 0
2020-10-05: Replaced: 214, skipped: 2, added new: 384, added affiliation: 612, new unknown: 0
2020-10-27: Replaced: 251, skipped: 0, added new: 1095, added affiliation: 716, new unknown: 0
2020-11-04: Replaced: 277, skipped: 1, added new: 479, added affiliation: 769, new unknown: 0
2020-11-19: Replaced: 168, skipped: 3, added new: 261, added affiliation: 548, new unknown: 0
2020-11-23: Replaced: 48, skipped: 0, added new: 66, added affiliation: 144, new unknown: 0
2020-11-30: Replaced: 110, skipped: 1, added new: 209, added affiliation: 285, new unknown: 0
2020-12-21: Replaced: 575, skipped: 1, added new: 1051, added affiliation: 1683, new unknown: 0
2020-12-22: Replaced: 36, skipped: 0, added new: 44, added affiliation: 94, new unknown: 0
2020-12-31: Replaced: 118, skipped: 1, added new: 231, added affiliation: 375, new unknown: 0
2021-01-12: Replaced: 153, skipped: 0, added new: 296, added affiliation: 476, new unknown: 0
2021-01-29: Replaced: 373, skipped: 1, added new: 781, added affiliation: 1102, new unknown: 0
2021-02-05: Replaced: 140, skipped: 0, added new: 290, added affiliation: 343, new unknown: 0
2021-02-19: Replaced: 264, skipped: 5, added new: 590, added affiliation: 679, new unknown: 0
2021-03-12: Replaced: 427, skipped: 5, added new: 977, added affiliation: 1047, new unknown: 0
2021-03-29: Replaced: 286, skipped: 0, added new: 639, added affiliation: 877, new unknown: 0
2021-04-08: Replaced: 85, skipped: 0, added new: 164, added affiliation: 228, new unknown: 0
2021-04-30: Replaced: 336, skipped: 1, added new: 608, added affiliation: 955, new unknown: 0
2021-05-06: Replaced: 31, skipped: 0, added new: 61, added affiliation: 84, new unknown: 0
2021-05-07: Replaced: 132, skipped: 0, added new: 177, added affiliation: 403, new unknown: 0
2021-05-10: Replaced: 45, skipped: 0, added new: 79, added affiliation: 137, new unknown: 0
2021-05-18: Replaced: 80, skipped: 8, added new: 461, added affiliation: 245, new unknown: 0
2021-05-19: Replaced: 44, skipped: 0, added new: 77, added affiliation: 114, new unknown: 0
2021-05-21: Replaced: 41, skipped: 0, added new: 53, added affiliation: 128, new unknown: 0
2021-06-09: Replaced: 230, skipped: 1, added new: 373, added affiliation: 709, new unknown: 0
2021-06-22: Replaced: 273, skipped: 3, added new: 480, added affiliation: 802, new unknown: 0
2021-07-20: Replaced: 64, skipped: 0, added new: 104, added affiliation: 218, new unknown: 0
2021-07-20: Replaced: 32, skipped: 0, added new: 72, added affiliation: 81, new unknown: 0
2021-07-20: Replaced: 64, skipped: 0, added new: 82, added affiliation: 182, new unknown: 0
2021-07-29: Replaced: 248, skipped: 0, added new: 373, added affiliation: 723, new unknown: 0
2021-08-02: Replaced: 47, skipped: 0, added new: 87, added affiliation: 130, new unknown: 0
2021-08-10: Replaced: 214, skipped: 4, added new: 332, added affiliation: 700, new unknown: 0
2021-08-30: Replaced: 489, skipped: 1, added new: 907, added affiliation: 1487, new unknown: 0
2021-09-08: Replaced: 170, skipped: 1, added new: 318, added affiliation: 554, new unknown: 0
2021-09-15: Replaced: 112, skipped: 0, added new: 230, added affiliation: 327, new unknown: 0
2021-09-15: Replaced: 40, skipped: 0, added new: 71, added affiliation: 129, new unknown: 0
2021-09-17: Replaced: 16, skipped: 0, added new: 46, added affiliation: 44, new unknown: 0
2021-09-21: Replaced: 31, skipped: 0, added new: 73, added affiliation: 88, new unknown: 0
2021-09-30: Replaced: 121, skipped: 0, added new: 285, added affiliation: 345, new unknown: 0
2021-09-30: Replaced: 14, skipped: 1, added new: 29, added affiliation: 38, new unknown: 0
2021-10-11: Replaced: 30, skipped: 0, added new: 109, added affiliation: 97, new unknown: 0
2021-10-22: Replaced: 116, skipped: 0, added new: 160, added affiliation: 344, new unknown: 0
2021-10-27: Replaced: 52, skipped: 1, added new: 120, added affiliation: 160, new unknown: 0
2021-10-29: Replaced: 40, skipped: 0, added new: 98, added affiliation: 144, new unknown: 0
2021-11-08: Replaced: 119, skipped: 1, added new: 244, added affiliation: 373, new unknown: 0
2021-11-17: Replaced: 99, skipped: 0, added new: 151, added affiliation: 338, new unknown: 0
2021-11-18: Replaced: 17, skipped: 0, added new: 26, added affiliation: 48, new unknown: 0
2021-11-24: Replaced: 112, skipped: 0, added new: 202, added affiliation: 303, new unknown: 0
2021-11-30: Replaced: 82, skipped: 1, added new: 167, added affiliation: 221, new unknown: 0
2021-12-07: Replaced: 152, skipped: 4, added new: 268, added affiliation: 358, new unknown: 0
2021-12-21: Replaced: 252, skipped: 9, added new: 566, added affiliation: 676, new unknown: 0
2022-01-10: Replaced: 223, skipped: 0, added new: 469, added affiliation: 604, new unknown: 0
2022-01-10: Replaced: 43, skipped: 4, added new: 71, added affiliation: 142, new unknown: 0
2022-01-24: Replaced: 38, skipped: 0, added new: 47, added affiliation: 107, new unknown: 0
2022-01-26: Replaced: 41, skipped: 0, added new: 1, added affiliation: 119, new unknown: 0
2022-01-26: Replaced: 160, skipped: 0, added new: 246, added affiliation: 539, new unknown: 0
2022-01-27: Replaced: 25, skipped: 0, added new: 37, added affiliation: 72, new unknown: 0
2022-02-25: Replaced: 176, skipped: 0, added new: 325, added affiliation: 537, new unknown: 0
2022-02-28: Replaced: 23, skipped: 0, added new: 30, added affiliation: 81, new unknown: 0
2022-03-07: Replaced: 26, skipped: 0, added new: 42, added affiliation: 73, new unknown: 0
2022-03-18: Replaced: 16, skipped: 0, added new: 35, added affiliation: 39, new unknown: 0
2022-03-18: Replaced: 217, skipped: 2, added new: 329, added affiliation: 640, new unknown: 0
2022-03-21: Replaced: 45, skipped: 0, added new: 72, added affiliation: 145, new unknown: 0
2022-03-30: Replaced: 205, skipped: 0, added new: 396, added affiliation: 651, new unknown: 0
2022-04-19: Replaced: 364, skipped: 32, added new: 573, added affiliation: 1128, new unknown: 0
2022-04-25: Replaced: 110, skipped: 1, added new: 201, added affiliation: 345, new unknown: 0
2022-05-09: Replaced: 28, skipped: 0, added new: 150, added affiliation: 101, new unknown: 0
2022-05-13: Replaced: 312, skipped: 4, added new: 580, added affiliation: 1037, new unknown: 0
2022-05-31: Replaced: 234, skipped: 10, added new: 507, added affiliation: 739, new unknown: 0
2022-06-10: Replaced: 155, skipped: 0, added new: 394, added affiliation: 499, new unknown: 0
