rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,csatib02,3928,16.41729,3928,16.41729,23926
2,ramizpolic,3563,14.89175,7491,31.30904,23926
3,akijakya,3172,13.25754,10663,44.56658,23926
4,tanmay-pnaik,196,0.81919,10859,45.38577,23926
5,gowthamsubbu,65,0.27167,10924,45.65744,23926
6,Rasek91,59,0.24659,10983,45.90404,23926
7,TomaszKlosinski,46,0.19226,11029,46.09630,23926
8,sparqueur,42,0.17554,11071,46.27184,23926
9,lgecse,34,0.14210,11105,46.41394,23926
10,wazery,32,0.13375,11137,46.54769,23926
11,moskitone,28,0.11703,11165,46.66472,23926
12,weberjn,26,0.10867,11191,46.77338,23926
13,szymonpk,25,0.10449,11216,46.87787,23926
14,gw0,24,0.10031,11240,46.97818,23926
15,dfengshi,21,0.08777,11261,47.06595,23926
16,sanderma,21,0.08777,11282,47.15372,23926
17,ichasco-heytrade,18,0.07523,11300,47.22896,23926
18,TanZng,18,0.07523,11318,47.30419,23926
19,nsimons,17,0.07105,11335,47.37524,23926
20,adityagu0910,16,0.06687,11351,47.44211,23926
21,chrisob,16,0.06687,11367,47.50899,23926
22,lelvisl,16,0.06687,11383,47.57586,23926
23,marcoreni,16,0.06687,11399,47.64273,23926
24,thpham,16,0.06687,11415,47.70960,23926
25,aidun,15,0.06269,11430,47.77230,23926
26,mgruener,15,0.06269,11445,47.83499,23926
27,universam1,15,0.06269,11460,47.89768,23926
28,gxpd-jjh,14,0.05851,11474,47.95620,23926
29,Kasama,14,0.05851,11488,48.01471,23926
30,kirilvasilev,14,0.05851,11502,48.07323,23926
31,onimsha,14,0.05851,11516,48.13174,23926
32,tim-beatson,14,0.05851,11530,48.19025,23926
33,audrey-brightloom,13,0.05433,11543,48.24459,23926
34,Elyytscha,13,0.05433,11556,48.29892,23926
35,jwitko,13,0.05433,11569,48.35326,23926
36,NeonSludge,13,0.05433,11582,48.40759,23926
37,polaroi8d,13,0.05433,11595,48.46192,23926
38,szwed,13,0.05433,11608,48.51626,23926
39,gnadaban,12,0.05015,11620,48.56641,23926
40,kschu91,12,0.05015,11632,48.61657,23926
41,laukaichung,12,0.05015,11644,48.66672,23926
42,rahmnathan,12,0.05015,11656,48.71688,23926
43,theonewolf,12,0.05015,11668,48.76703,23926
44,aravind-bluescape,11,0.04598,11679,48.81301,23926
45,BojanZelic,11,0.04598,11690,48.85898,23926
46,jkirkham-ratehub,11,0.04598,11701,48.90496,23926
47,joshdvir,11,0.04598,11712,48.95093,23926
48,sando38,11,0.04598,11723,48.99691,23926
49,squaricdot,11,0.04598,11734,49.04288,23926
50,wmene,11,0.04598,11745,49.08886,23926
51,chrism417,10,0.04180,11755,49.13065,23926
52,david-dc-chen,10,0.04180,11765,49.17245,23926
53,dhumphries-sainsburys,10,0.04180,11775,49.21424,23926
54,shidoh,10,0.04180,11785,49.25604,23926
55,akin-ozer,9,0.03762,11794,49.29366,23926
56,ameyp,9,0.03762,11803,49.33127,23926
57,AndreasSko,9,0.03762,11812,49.36889,23926
58,hydratim,9,0.03762,11821,49.40650,23926
59,jochen-schreiber,9,0.03762,11830,49.44412,23926
60,Nello-Angelo,9,0.03762,11839,49.48174,23926
61,robertgates55,9,0.03762,11848,49.51935,23926
62,rocpatel,9,0.03762,11857,49.55697,23926
63,tvarade,9,0.03762,11866,49.59458,23926
64,94DanielBrown,8,0.03344,11874,49.62802,23926
65,adamantal,8,0.03344,11882,49.66146,23926
66,andreygolev,8,0.03344,11890,49.69489,23926
67,JonTheNiceGuy,8,0.03344,11898,49.72833,23926
68,pbriet,8,0.03344,11906,49.76177,23926
69,tabossert,8,0.03344,11914,49.79520,23926
70,tczekajlo,8,0.03344,11922,49.82864,23926
71,VFourneau,8,0.03344,11930,49.86207,23926
72,yaroslavkasatikov,8,0.03344,11938,49.89551,23926
