rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,itay-grudev,1192,1.68674,1192,1.68674,70669
2,hh24k,807,1.14194,1999,2.82868,70669
3,YanniHu1996,598,0.84620,2597,3.67488,70669
4,jlong49,525,0.74290,3122,4.41778,70669
5,smiyc,347,0.49102,3469,4.90880,70669
6,danishedb,229,0.32405,3698,5.23285,70669
7,MichaluxPL,96,0.13584,3794,5.36869,70669
8,FloorD,41,0.05802,3835,5.42671,70669
9,Stevenpc3,37,0.05236,3872,5.47906,70669
10,gpothier,34,0.04811,3906,5.52718,70669
11,HaveFun83,32,0.04528,3938,5.57246,70669
12,oberai07,31,0.04387,3969,5.61632,70669
13,weiyentan,31,0.04387,4000,5.66019,70669
14,solidDoWant,29,0.04104,4029,5.70123,70669
15,MarcusDunn,28,0.03962,4057,5.74085,70669
16,sjuls,28,0.03962,4085,5.78047,70669
17,perfectra1n,27,0.03821,4112,5.81868,70669
18,pselliotc,27,0.03821,4139,5.85688,70669
19,Sapp00,27,0.03821,4166,5.89509,70669
20,sharifmshaker,27,0.03821,4193,5.93329,70669
21,BaudouinH,26,0.03679,4219,5.97009,70669
22,chris-gooch,26,0.03679,4245,6.00688,70669
23,maxpain,26,0.03679,4271,6.04367,70669
24,svenakela,22,0.03113,4293,6.07480,70669
25,wibed,22,0.03113,4315,6.10593,70669
26,dspeck1,21,0.02972,4336,6.13565,70669
27,quercus-carsten,21,0.02972,4357,6.16536,70669
28,scart88,21,0.02972,4378,6.19508,70669
29,testwill,21,0.02972,4399,6.22479,70669
30,mikewallace1979,20,0.02830,4419,6.25310,70669
31,myhops,20,0.02830,4439,6.28140,70669
32,Aelxander,19,0.02689,4458,6.30828,70669
33,lieryan,18,0.02547,4476,6.33375,70669
34,hokaxbt,17,0.02406,4493,6.35781,70669
35,dlob,16,0.02264,4509,6.38045,70669
36,sakateka,16,0.02264,4525,6.40309,70669
37,troyt-42,16,0.02264,4541,6.42573,70669
38,DerRockWolf,14,0.01981,4555,6.44554,70669
39,dsluo,14,0.01981,4569,6.46535,70669
40,nilsbrenkman,14,0.01981,4583,6.48516,70669
41,quay-devel,14,0.01981,4597,6.50497,70669
42,simonerocchi,14,0.01981,4611,6.52478,70669
43,Eykha,13,0.01840,4624,6.54318,70669
44,GioPat,13,0.01840,4637,6.56158,70669
45,kfkawalec,13,0.01840,4650,6.57997,70669
46,maaft,13,0.01840,4663,6.59837,70669
47,paraddise,13,0.01840,4676,6.61676,70669
48,saolof,13,0.01840,4689,6.63516,70669
49,shusaan,13,0.01840,4702,6.65355,70669
50,TillHein,13,0.01840,4715,6.67195,70669
51,ecksun,12,0.01698,4727,6.68893,70669
52,hollanbm,12,0.01698,4739,6.70591,70669
53,m33li5,12,0.01698,4751,6.72289,70669
54,ns-jhu,12,0.01698,4763,6.73987,70669
55,brinnjoyce,11,0.01557,4774,6.75544,70669
56,Jude0245,11,0.01557,4785,6.77100,70669
57,seumasdunlop,11,0.01557,4796,6.78657,70669
58,B1ue-W01f,10,0.01415,4806,6.80072,70669
59,sebasmannem,10,0.01415,4816,6.81487,70669
60,winterrmute,10,0.01415,4826,6.82902,70669
61,bo0tzz,9,0.01274,4835,6.84176,70669
62,lotheac,9,0.01274,4844,6.85449,70669
63,LucaCominoli21,9,0.01274,4853,6.86723,70669
64,restingbull,9,0.01274,4862,6.87996,70669
65,99hops,8,0.01132,4870,6.89128,70669
66,adminnz,8,0.01132,4878,6.90260,70669
67,apriebeAVSystem,8,0.01132,4886,6.91392,70669
68,cristianrat,8,0.01132,4894,6.92524,70669
69,gsimko,8,0.01132,4902,6.93656,70669
70,kndoni,8,0.01132,4910,6.94788,70669
71,RaicuRobert,8,0.01132,4918,6.95920,70669
72,rlex,8,0.01132,4926,6.97052,70669
73,rocket357,8,0.01132,4934,6.98184,70669
74,Tao-TL,8,0.01132,4942,6.99317,70669
75,8ball030,7,0.00991,4949,7.00307,70669
76,alexklibisz,7,0.00991,4956,7.01298,70669
77,bozorgmehr96,7,0.00991,4963,7.02288,70669
78,cirilloblu,7,0.00991,4970,7.03279,70669
79,clickersmudge,7,0.00991,4977,7.04269,70669
80,cod-r,7,0.00991,4984,7.05260,70669
81,df7cb,7,0.00991,4991,7.06250,70669
82,jpabbuehl,7,0.00991,4998,7.07241,70669
83,majermarci,7,0.00991,5005,7.08231,70669
84,mbiagetti,7,0.00991,5012,7.09222,70669
85,nixonjoshua98,7,0.00991,5019,7.10212,70669
86,pha91,7,0.00991,5026,7.11203,70669
87,steve-marmalade,7,0.00991,5033,7.12193,70669
88,yonglian,7,0.00991,5040,7.13184,70669
89,anaskhantpl,6,0.00849,5046,7.14033,70669
90,awx-auto,6,0.00849,5052,7.14882,70669
91,bhanotjyoti,6,0.00849,5058,7.15731,70669
92,danpe,6,0.00849,5064,7.16580,70669
93,elliottneilclark,6,0.00849,5070,7.17429,70669
