rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,pkbhowmick,63,2.81627,63,2.81627,2237
2,lhaendler,49,2.19043,112,5.00671,2237
3,olamilekan000,35,1.56460,147,6.57130,2237
4,,33,1.47519,180,8.04649,2237
5,mirzakopic,10,0.44703,190,8.49352,2237
6,banicr,5,0.22351,195,8.71703,2237
7,RyanCarlisle,5,0.22351,200,8.94055,2237
8,algor1th,2,0.08941,202,9.02995,2237
9,iakmc,2,0.08941,204,9.11936,2237
10,Superm4n97,2,0.08941,206,9.20876,2237
11,a9s-nc,1,0.04470,207,9.25346,2237
12,kmk142789,1,0.04470,208,9.29817,2237
