rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,clubanderson,3379,7.08772,3379,7.08772,47674
2,Phaow,383,0.80337,3762,7.89109,47674
3,kylape,380,0.79708,4142,8.68817,47674
4,kasturinarra,348,0.72996,4490,9.41813,47674
5,csams,202,0.42371,4692,9.84184,47674
6,yana1205,146,0.30625,4838,10.14809,47674
7,francostellari,125,0.26220,4963,10.41029,47674
8,zxiao-redhat,70,0.14683,5033,10.55712,47674
9,makslion,63,0.13215,5096,10.68926,47674
10,ChristianZaccaria,53,0.11117,5149,10.80044,47674
11,chrisahl,52,0.10907,5201,10.90951,47674
12,effi-ofer,52,0.10907,5253,11.01858,47674
13,RAMESSESII2,47,0.09859,5300,11.11717,47674
14,geoberle,30,0.06293,5330,11.18010,47674
15,fileppb,26,0.05454,5356,11.23464,47674
16,wangke19,23,0.04824,5379,11.28288,47674
17,yogesh-reddy,22,0.04615,5401,11.32903,47674
18,amanroa,20,0.04195,5421,11.37098,47674
19,snehakpersistent,19,0.03985,5440,11.41083,47674
20,bnallapeta,17,0.03566,5457,11.44649,47674
21,ibihim,15,0.03146,5472,11.47795,47674
22,sergioifg94,15,0.03146,5487,11.50942,47674
23,jasonmadigan,13,0.02727,5500,11.53669,47674
24,pkprzekwas,13,0.02727,5513,11.56396,47674
25,Roming22,13,0.02727,5526,11.59122,47674
26,vishnuchalla,13,0.02727,5539,11.61849,47674
27,mayurwaghmode,11,0.02307,5550,11.64157,47674
28,pradeepnnv,11,0.02307,5561,11.66464,47674
29,merlante,9,0.01888,5570,11.68352,47674
30,UtkarshChaurasia,9,0.01888,5579,11.70240,47674
31,SakuraAxy,8,0.01678,5587,11.71918,47674
32,iamwillbar,6,0.01259,5593,11.73176,47674
33,cmadam,5,0.01049,5598,11.74225,47674
34,dilipmighty245,5,0.01049,5603,11.75274,47674
35,doru1004,5,0.01049,5608,11.76323,47674
36,IshanSakhuja,5,0.01049,5613,11.77371,47674
37,dhanusaputra,4,0.00839,5617,11.78210,47674
38,dovholuknf,4,0.00839,5621,11.79049,47674
39,nitinmewar,4,0.00839,5625,11.79888,47674
40,mmorhun,3,0.00629,5628,11.80518,47674
41,roivaz,3,0.00629,5631,11.81147,47674
42,tsuzu,3,0.00629,5634,11.81776,47674
43,y-taka-23,3,0.00629,5637,11.82406,47674
44,Bianca2-be,2,0.00420,5639,11.82825,47674
45,danilo-gemoli,2,0.00420,5641,11.83245,47674
46,duanwei33,2,0.00420,5643,11.83664,47674
47,jhjaggars,2,0.00420,5645,11.84084,47674
48,matteoolivi,2,0.00420,5647,11.84503,47674
49,ramessesii2,2,0.00420,5649,11.84923,47674
50,romfreiman,2,0.00420,5651,11.85342,47674
51,ronenkat,2,0.00420,5653,11.85762,47674
52,shaunaksen09,2,0.00420,5655,11.86181,47674
53,tingdai,2,0.00420,5657,11.86601,47674
54,VGandhi27,2,0.00420,5659,11.87020,47674
55,aknochow,1,0.00210,5660,11.87230,47674
56,chivalryq,1,0.00210,5661,11.87440,47674
57,chlam4,1,0.00210,5662,11.87649,47674
58,CodeNoobKc2,1,0.00210,5663,11.87859,47674
59,CryptoGodfatherVA2,1,0.00210,5664,11.88069,47674
60,diwanc,1,0.00210,5665,11.88279,47674
61,dpuniaredhat,1,0.00210,5666,11.88488,47674
62,eaepstein,1,0.00210,5667,11.88698,47674
63,garg-dhruv,1,0.00210,5668,11.88908,47674
64,Harmedox,1,0.00210,5669,11.89118,47674
65,KPRoche,1,0.00210,5670,11.89328,47674
66,manoelmarques,1,0.00210,5671,11.89537,47674
67,mbolotsuse,1,0.00210,5672,11.89747,47674
68,mcbenjemaa,1,0.00210,5673,11.89957,47674
69,michaeladda,1,0.00210,5674,11.90167,47674
70,Moddyblue,1,0.00210,5675,11.90376,47674
71,mohitsaxenaknoldus,1,0.00210,5676,11.90586,47674
72,mukundmckinsey,1,0.00210,5677,11.90796,47674
73,pehala,1,0.00210,5678,11.91006,47674
74,pmuench1717,1,0.00210,5679,11.91215,47674
75,rpsene,1,0.00210,5680,11.91425,47674
76,sanjimoh,1,0.00210,5681,11.91635,47674
77,siddhi-khanna,1,0.00210,5682,11.91845,47674
78,srihanm,1,0.00210,5683,11.92054,47674
79,tayebehbah,1,0.00210,5684,11.92264,47674
80,thetechnick,1,0.00210,5685,11.92474,47674
81,thinkahead,1,0.00210,5686,11.92684,47674
82,vidyanambiar,1,0.00210,5687,11.92893,47674
83,vikrantest,1,0.00210,5688,11.93103,47674
84,wuyexixi,1,0.00210,5689,11.93313,47674
