rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,Burning1020,348,36.90350,348,36.90350,943
2,dierbei,55,5.83245,403,42.73595,943
3,kuasar-io-dev,36,3.81760,439,46.55355,943
4,luohl364218,19,2.01485,458,48.56840,943
5,Youtirsin,10,1.06045,468,49.62884,943
6,xukobe,9,0.95440,477,50.58324,943
7,yuqitao,7,0.74231,484,51.32556,943
8,leviyanx,4,0.42418,488,51.74973,943
9,Wabct,4,0.42418,492,52.17391,943
10,FreeCarbene,2,0.21209,494,52.38600,943
11,makabaka-boom,2,0.21209,496,52.59809,943
12,morningtzh,2,0.21209,498,52.81018,943
13,shitou12345678,2,0.21209,500,53.02227,943
14,sunyulin728,2,0.21209,502,53.23436,943
15,xietuo,2,0.21209,504,53.44645,943
16,Mirageuu,1,0.10604,505,53.55249,943
17,yerke,1,0.10604,506,53.65854,943
18,zmn223,1,0.10604,507,53.76458,943
