rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,rsevilla87,1720,51.82284,1720,51.82284,3319
2,afcollins,214,6.44773,1934,58.27056,3319
3,morenod,117,3.52516,2051,61.79572,3319
4,dry923,50,1.50648,2101,63.30220,3319
5,mukrishn,49,1.47635,2150,64.77855,3319
6,paigerube14,26,0.78337,2176,65.56192,3319
7,venkataanil,25,0.75324,2201,66.31516,3319
8,mfleader,21,0.63272,2222,66.94788,3319
9,krishvoor,20,0.60259,2242,67.55047,3319
10,josecastillolema,18,0.54233,2260,68.09280,3319
11,Muscule,16,0.48207,2276,68.57487,3319
12,mohit-sheth,14,0.42181,2290,68.99669,3319
13,mtodor,12,0.36155,2302,69.35824,3319
14,shashank-boyapally,10,0.30130,2312,69.65954,3319
15,bardielle,9,0.27117,2321,69.93070,3319
16,darkmuggle,8,0.24104,2329,70.17174,3319
17,mountaindrew,8,0.24104,2337,70.41277,3319
18,qiliRedHat,8,0.24104,2345,70.65381,3319
19,johnqa,7,0.21091,2352,70.86472,3319
20,MarkSRobinson,7,0.21091,2359,71.07563,3319
21,Noreen21,7,0.21091,2366,71.28653,3319
22,ntriller-plaid,7,0.21091,2373,71.49744,3319
23,jaredoconnell,5,0.15065,2378,71.64809,3319
24,ahardin-rh,4,0.12052,2382,71.76861,3319
25,bbenshab,4,0.12052,2386,71.88912,3319
26,gavin-stackrox,4,0.12052,2390,72.00964,3319
27,nathan-weinberg,4,0.12052,2394,72.13016,3319
28,npinaeva,4,0.12052,2398,72.25068,3319
29,fcanovai,3,0.09039,2401,72.34107,3319
30,thiagorider,3,0.09039,2404,72.43146,3319
31,1kaushik1,2,0.06026,2406,72.49171,3319
32,evafp90,2,0.06026,2408,72.55197,3319
33,Harshith-umesh,2,0.06026,2410,72.61223,3319
34,piyushgupta1551,2,0.06026,2412,72.67249,3319
35,wolfganghuse,2,0.06026,2414,72.73275,3319
36,chinmaykhare,1,0.03013,2415,72.76288,3319
37,itzikb,1,0.03013,2416,72.79301,3319
38,jdowni000,1,0.03013,2417,72.82314,3319
39,KostasBitsakos,1,0.03013,2418,72.85327,3319
40,kyrtapz,1,0.03013,2419,72.88340,3319
41,miiraheart,1,0.03013,2420,72.91353,3319
42,sferlin,1,0.03013,2421,72.94366,3319
