rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,SparkYuan,2819,13.14893,2819,13.14893,21439
2,liu-hm19,1413,6.59079,4232,19.73973,21439
3,zong-zhe,1140,5.31741,5372,25.05714,21439
4,chai2010,1134,5.28943,6506,30.34656,21439
5,healthjyk,917,4.27725,7423,34.62382,21439
6,amyXia1994,857,3.99739,8280,38.62120,21439
7,ColdsteelRail,600,2.79864,8880,41.41984,21439
8,ffforest,478,2.22958,9358,43.64942,21439
9,shaofan-hs,429,2.00103,9787,45.65045,21439
10,ldxdl,407,1.89841,10194,47.54886,21439
11,Eikykun,341,1.59056,10535,49.13942,21439
12,He1pa,316,1.47395,10851,50.61337,21439
13,NeverRaR,307,1.43197,11158,52.04534,21439
14,panshuai-ps,179,0.83493,11337,52.88026,21439
15,markliby,161,0.75097,11498,53.63123,21439
16,WeichengWang1,161,0.75097,11659,54.38220,21439
17,Yangyang96,77,0.35916,11736,54.74136,21439
18,Liuxingyu1111111,50,0.23322,11786,54.97458,21439
19,hoangndst,45,0.20990,11831,55.18448,21439
20,neverxie,43,0.20057,11874,55.38505,21439
21,AnnaYue,36,0.16792,11910,55.55296,21439
22,rajeshkio,32,0.14926,11942,55.70222,21439
23,spring-young,32,0.14926,11974,55.85149,21439
24,cyh-ant,28,0.13060,12002,55.98209,21439
25,nuaazz,27,0.12594,12029,56.10803,21439
26,LeoLiuYan,26,0.12127,12055,56.22930,21439
27,ddh-open,20,0.09329,12075,56.32259,21439
28,jakezhu9,20,0.09329,12095,56.41588,21439
29,danielstankw,19,0.08862,12114,56.50450,21439
30,hai-tian,16,0.07463,12130,56.57913,21439
31,Madhurchandran,15,0.06997,12145,56.64910,21439
32,cheny-alf,14,0.06530,12159,56.71440,21439
33,CirillaQL,14,0.06530,12173,56.77970,21439
34,ekjotsinghmakhija,14,0.06530,12187,56.84500,21439
35,jueli12,14,0.06530,12201,56.91030,21439
36,dbug-dk,13,0.06064,12214,56.97094,21439
37,possible-fqz,13,0.06064,12227,57.03158,21439
38,SS-Yuki,13,0.06064,12240,57.09222,21439
39,tianzhou,13,0.06064,12253,57.15285,21439
40,harri2012,12,0.05597,12265,57.20883,21439
41,solarhell,11,0.05131,12276,57.26013,21439
42,virtually-stray,10,0.04664,12286,57.30678,21439
43,Paradiesvogel7,9,0.04198,12295,57.34876,21439
44,qiuming520,9,0.04198,12304,57.39074,21439
45,yihuan6,8,0.03732,12312,57.42805,21439
46,Mrcopytuo,7,0.03265,12319,57.46070,21439
47,panshuai111,7,0.03265,12326,57.49335,21439
48,xi-wen-kk,7,0.03265,12333,57.52600,21439
49,kusion-docs,6,0.02799,12339,57.55399,21439
50,novohool,6,0.02799,12345,57.58198,21439
51,orangebees,6,0.02799,12351,57.60996,21439
52,riven-blade,6,0.02799,12357,57.63795,21439
53,cx2c,5,0.02332,12362,57.66127,21439
54,diannaowa,5,0.02332,12367,57.68459,21439
55,EdenBW,5,0.02332,12372,57.70792,21439
56,JasonHe-WQ,5,0.02332,12377,57.73124,21439
57,T1-leiyang,5,0.02332,12382,57.75456,21439
58,vietanhtwdk,5,0.02332,12387,57.77788,21439
59,1054518207,4,0.01866,12391,57.79654,21439
60,wolfcode111,4,0.01866,12395,57.81520,21439
61,xyctruth,4,0.01866,12399,57.83385,21439
62,Fleezesd,3,0.01399,12402,57.84785,21439
63,ismdeep,3,0.01399,12405,57.86184,21439
64,kaysonyu,3,0.01399,12408,57.87583,21439
65,lhanjian,3,0.01399,12411,57.88983,21439
66,n3A87,3,0.01399,12414,57.90382,21439
67,rajeswarr,3,0.01399,12417,57.91781,21439
68,study-renjie,3,0.01399,12420,57.93181,21439
69,wenxuanwu,3,0.01399,12423,57.94580,21439
70,0nimaru,2,0.00933,12425,57.95513,21439
71,CSparkling,2,0.00933,12427,57.96446,21439
72,Edwin-Li-01,2,0.00933,12429,57.97379,21439
73,ktKongTong,2,0.00933,12431,57.98311,21439
74,mouuii,2,0.00933,12433,57.99244,21439
75,murrayee,2,0.00933,12435,58.00177,21439
76,phamchien94,2,0.00933,12437,58.01110,21439
77,village-way,2,0.00933,12439,58.02043,21439
78,1511563371,1,0.00466,12440,58.02509,21439
79,AbdoALPOP,1,0.00466,12441,58.02976,21439
80,akan,1,0.00466,12442,58.03442,21439
81,ArronMingCN,1,0.00466,12443,58.03909,21439
82,arrowfeng,1,0.00466,12444,58.04375,21439
83,christianknoepfle,1,0.00466,12445,58.04842,21439
84,CsBigDataHub,1,0.00466,12446,58.05308,21439
85,cytnju,1,0.00466,12447,58.05775,21439
86,doudaohu,1,0.00466,12448,58.06241,21439
87,errord,1,0.00466,12449,58.06707,21439
88,FLAGLORD,1,0.00466,12450,58.07174,21439
89,haiwu,1,0.00466,12451,58.07640,21439
90,hayone1,1,0.00466,12452,58.08107,21439
91,kevinz,1,0.00466,12453,58.08573,21439
92,kinbod,1,0.00466,12454,58.09040,21439
93,lucckas,1,0.00466,12455,58.09506,21439
94,mmm8955405,1,0.00466,12456,58.09972,21439
95,RashmitTopG,1,0.00466,12457,58.10439,21439
96,ywgx,1,0.00466,12458,58.10905,21439
97,zhuxw,1,0.00466,12459,58.11372,21439
