rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,siliconbrain,626,5.65952,626,5.65952,11061
2,fekete-robert,413,3.73384,1039,9.39336,11061
3,asdwsda,244,2.20595,1283,11.59931,11061
4,bshifter,227,2.05226,1510,13.65157,11061
5,OverOrion,190,1.71775,1700,15.36932,11061
6,genofire,94,0.84983,1794,16.21915,11061
7,kristofgyuracz,92,0.83175,1886,17.05090,11061
8,velothump,84,0.75943,1970,17.81032,11061
9,MrAnno,71,0.64189,2041,18.45222,11061
10,worr,50,0.45204,2091,18.90426,11061
11,alexxed,36,0.32547,2127,19.22973,11061
12,orymate,32,0.28930,2159,19.51903,11061
13,petergvizd,23,0.20794,2182,19.72697,11061
14,kenankule,22,0.19890,2204,19.92587,11061
15,Sebor,22,0.19890,2226,20.12476,11061
16,2020testuser,17,0.15369,2243,20.27846,11061
17,alexvaque,15,0.13561,2258,20.41407,11061
18,ekhaydarov,12,0.10849,2270,20.52256,11061
19,gvizdpeter,12,0.10849,2282,20.63105,11061
20,Hisagar,12,0.10849,2294,20.73954,11061
21,RaSerge,12,0.10849,2306,20.84802,11061
22,smlx,12,0.10849,2318,20.95651,11061
23,nak0f,11,0.09945,2329,21.05596,11061
24,florianstoeber,10,0.09041,2339,21.14637,11061
25,karloramone,10,0.09041,2349,21.23678,11061
26,alex-souslik-hs,9,0.08137,2358,21.31814,11061
27,amitlt,9,0.08137,2367,21.39951,11061
28,cyrus-mc,9,0.08137,2376,21.48088,11061
29,dbason,9,0.08137,2385,21.56225,11061
30,fust,9,0.08137,2394,21.64361,11061
31,overdrive3000,9,0.08137,2403,21.72498,11061
32,wondersd,9,0.08137,2412,21.80635,11061
33,bovlb,8,0.07233,2420,21.87867,11061
34,fwagner-smf,8,0.07233,2428,21.95100,11061
35,jaimehrubiks,8,0.07233,2436,22.02333,11061
36,sureshgoli25,8,0.07233,2444,22.09565,11061
37,Thoro,8,0.07233,2452,22.16798,11061
38,123BLiN,7,0.06329,2459,22.23126,11061
39,DanielBodnar,7,0.06329,2466,22.29455,11061
40,dududko,7,0.06329,2473,22.35783,11061
41,eljohnson92,7,0.06329,2480,22.42112,11061
42,hyperion-hyp,7,0.06329,2487,22.48440,11061
43,jeremych1000,7,0.06329,2494,22.54769,11061
44,joseacl,7,0.06329,2501,22.61098,11061
45,pbalogh-sa,7,0.06329,2508,22.67426,11061
46,AlKapkone,6,0.05424,2514,22.72851,11061
47,bryce-wilkinson-443,6,0.05424,2520,22.78275,11061
48,dcasado,6,0.05424,2526,22.83699,11061
49,mamu-reply,6,0.05424,2532,22.89124,11061
50,mfbrj,6,0.05424,2538,22.94548,11061
51,ncrothe,6,0.05424,2544,22.99973,11061
52,RushedLogic,6,0.05424,2550,23.05397,11061
53,true64gurus,6,0.05424,2556,23.10822,11061
54,acarsercan,5,0.04520,2561,23.15342,11061
55,adnan-kobir-sp,5,0.04520,2566,23.19863,11061
56,ChamMach,5,0.04520,2571,23.24383,11061
57,ecusnir,5,0.04520,2576,23.28903,11061
58,kumarganesh2814,5,0.04520,2581,23.33424,11061
59,panaji,5,0.04520,2586,23.37944,11061
60,simonkey007,5,0.04520,2591,23.42465,11061
61,staerion,5,0.04520,2596,23.46985,11061
62,zhj-hx,5,0.04520,2601,23.51505,11061
63,CloudXiaobai,4,0.03616,2605,23.55122,11061
64,g-traveller,4,0.03616,2609,23.58738,11061
65,hahawu42,4,0.03616,2613,23.62354,11061
66,nitinmohan87,4,0.03616,2617,23.65971,11061
67,pheianox,4,0.03616,2621,23.69587,11061
68,saiinuganti,4,0.03616,2625,23.73203,11061
69,seb783191,4,0.03616,2629,23.76819,11061
70,testwill,4,0.03616,2633,23.80436,11061
71,abierbaum,3,0.02712,2636,23.83148,11061
72,adie,3,0.02712,2639,23.85860,11061
73,Ancitik,3,0.02712,2642,23.88572,11061
74,arvindkonar,3,0.02712,2645,23.91285,11061
75,bovy89,3,0.02712,2648,23.93997,11061
76,buddyledungarees,3,0.02712,2651,23.96709,11061
77,caipengtao,3,0.02712,2654,23.99421,11061
78,calvin-puram,3,0.02712,2657,24.02134,11061
79,davidmohar,3,0.02712,2660,24.04846,11061
80,Drupi,3,0.02712,2663,24.07558,11061
81,dtwork2022,3,0.02712,2666,24.10270,11061
82,duhow,3,0.02712,2669,24.12983,11061
83,envybee,3,0.02712,2672,24.15695,11061
84,evilrussian,3,0.02712,2675,24.18407,11061
85,frjaraur,3,0.02712,2678,24.21119,11061
86,Gholie,3,0.02712,2681,24.23831,11061
87,hpdvanwyk,3,0.02712,2684,24.26544,11061
88,Ishwinder-kaur,3,0.02712,2687,24.29256,11061
89,jadhavnitind,3,0.02712,2690,24.31968,11061
90,jdonnelly-apixio,3,0.02712,2693,24.34680,11061
91,joosangkim,3,0.02712,2696,24.37393,11061
92,Jorricks,3,0.02712,2699,24.40105,11061
93,joyartoun,3,0.02712,2702,24.42817,11061
94,liogate,3,0.02712,2705,24.45529,11061
95,lulukas86,3,0.02712,2708,24.48242,11061
96,melkosoft,3,0.02712,2711,24.50954,11061
97,mgmgwi,3,0.02712,2714,24.53666,11061
98,naviat,3,0.02712,2717,24.56378,11061
