rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,digambar15,411,0.34048,411,0.34048,120711
2,maxrantil,356,0.29492,767,0.63540,120711
3,erjavaskivuori,217,0.17977,984,0.81517,120711
4,MahnoorAsghar,215,0.17811,1199,0.99328,120711
5,SafeEHA,196,0.16237,1395,1.15565,120711
6,rhjanders,142,0.11764,1537,1.27329,120711
7,matthewei,124,0.10272,1661,1.37601,120711
8,shibaPuppy,101,0.08367,1762,1.45968,120711
9,metal3ci,94,0.07787,1856,1.53756,120711
10,akiselev1,82,0.06793,1938,1.60549,120711
11,lekaf974,58,0.04805,1996,1.65354,120711
12,nehaalhat,57,0.04722,2053,1.70076,120711
13,sharajat,57,0.04722,2110,1.74798,120711
14,nuhakala,56,0.04639,2166,1.79437,120711
15,p-strusiewiczsurmacki-mobica,56,0.04639,2222,1.84076,120711
16,ankit-kumar5,50,0.04142,2272,1.88218,120711
17,sirpaleet,47,0.03894,2319,1.92112,120711
18,alexal,34,0.02817,2353,1.94928,120711
19,ksahil12,31,0.02568,2384,1.97496,120711
20,fhaftmann,30,0.02485,2414,1.99982,120711
21,Copilot,28,0.02320,2442,2.02301,120711
22,tiendc,28,0.02320,2470,2.04621,120711
23,diconico07,27,0.02237,2497,2.06858,120711
24,fracappa,27,0.02237,2524,2.09094,120711
25,jingvar,26,0.02154,2550,2.11248,120711
26,babugeet,25,0.02071,2575,2.13319,120711
27,nasirkamal,24,0.01988,2599,2.15308,120711
28,ydp,24,0.01988,2623,2.17296,120711
29,Lukasz-SendGrid,23,0.01905,2646,2.19201,120711
30,jklippel,22,0.01823,2668,2.21024,120711
31,Gutopro,21,0.01740,2689,2.22763,120711
32,winiciusallan,21,0.01740,2710,2.24503,120711
33,jtwill98,20,0.01657,2730,2.26160,120711
34,kanwar-saad,20,0.01657,2750,2.27817,120711
35,xinzhongyoumeng,19,0.01574,2769,2.29391,120711
36,PlotCondor,18,0.01491,2787,2.30882,120711
37,tico88612,17,0.01408,2804,2.32290,120711
38,andremagui,16,0.01325,2820,2.33616,120711
39,boldfield,16,0.01325,2836,2.34941,120711
40,NeerajNagure,16,0.01325,2852,2.36267,120711
41,yanndegat,16,0.01325,2868,2.37592,120711
42,cjeanner,14,0.01160,2882,2.38752,120711
43,Gal-Zaidman,14,0.01160,2896,2.39912,120711
44,haijianyang,14,0.01160,2910,2.41072,120711
45,chatla-telekom,13,0.01077,2923,2.42149,120711
46,geekrypter,13,0.01077,2936,2.43226,120711
47,jwstein3400,13,0.01077,2949,2.44303,120711
48,sf1tzp,12,0.00994,2961,2.45297,120711
49,tliu2021,12,0.00994,2973,2.46291,120711
50,pixelsoccupied,11,0.00911,2984,2.47202,120711
51,Mawwlle,10,0.00828,2994,2.48030,120711
52,nerok,10,0.00828,3004,2.48859,120711
53,snehal1797,10,0.00828,3014,2.49687,120711
54,arnewiebalck,9,0.00746,3023,2.50433,120711
55,EgorLu,9,0.00746,3032,2.51178,120711
56,iamatifmoin,9,0.00746,3041,2.51924,120711
57,sebastiaopamplona,9,0.00746,3050,2.52670,120711
58,shellclear,9,0.00746,3059,2.53415,120711
59,yakiyoshi,9,0.00746,3068,2.54161,120711
60,7h3-3mp7y-m4n,8,0.00663,3076,2.54824,120711
61,avishayt,8,0.00663,3084,2.55486,120711
62,chess-knight,8,0.00663,3092,2.56149,120711
63,jgu17,8,0.00663,3100,2.56812,120711
64,magiclamp2,8,0.00663,3108,2.57474,120711
65,mkosobucki-relspace,8,0.00663,3116,2.58137,120711
66,wallchristopher,8,0.00663,3124,2.58800,120711
67,alexz-kh,7,0.00580,3131,2.59380,120711
68,kmg1905,7,0.00580,3138,2.59960,120711
69,pszczerbik,7,0.00580,3145,2.60540,120711
70,udayruddarraju,7,0.00580,3152,2.61120,120711
71,agewagra,6,0.00497,3158,2.61617,120711
72,eidmantas,6,0.00497,3164,2.62114,120711
73,hex2dec,6,0.00497,3170,2.62611,120711
74,ijayhub,6,0.00497,3176,2.63108,120711
75,jackjii79,6,0.00497,3182,2.63605,120711
76,owenthomas17,6,0.00497,3188,2.64102,120711
77,poonampawar28,6,0.00497,3194,2.64599,120711
78,ragoncsa,6,0.00497,3200,2.65096,120711
79,shachard,6,0.00497,3206,2.65593,120711
80,surabujin,6,0.00497,3212,2.66090,120711
81,Viveksati5143,6,0.00497,3218,2.66587,120711
82,adetalhouet,5,0.00414,3223,2.67001,120711
83,dankingtech,5,0.00414,3228,2.67416,120711
84,egarzuel,5,0.00414,3233,2.67830,120711
85,faisalchishtii,5,0.00414,3238,2.68244,120711
86,groundnuty,5,0.00414,3243,2.68658,120711
87,haoziwu,5,0.00414,3248,2.69072,120711
88,harshithakolipaka,5,0.00414,3253,2.69487,120711
89,jplimack,5,0.00414,3258,2.69901,120711
90,mkth1,5,0.00414,3263,2.70315,120711
91,t-h2o,5,0.00414,3268,2.70729,120711
92,aditya7302,4,0.00331,3272,2.71061,120711
93,chukwunnonso,4,0.00331,3276,2.71392,120711
94,CJCShadowsan,4,0.00331,3280,2.71723,120711
95,Collins-Omariba,4,0.00331,3284,2.72055,120711
96,ethan-gallant,4,0.00331,3288,2.72386,120711
97,f1tzpatrick,4,0.00331,3292,2.72717,120711
98,guoruijing,4,0.00331,3296,2.73049,120711
99,jzding,4,0.00331,3300,2.73380,120711
100,mattmceuen,4,0.00331,3304,2.73712,120711
101,Nickuru,4,0.00331,3308,2.74043,120711
102,oneoneonepig,4,0.00331,3312,2.74374,120711
103,organic-scholar,4,0.00331,3316,2.74706,120711
104,PabloGarza328,4,0.00331,3320,2.75037,120711
105,s0uky,4,0.00331,3324,2.75368,120711
106,szengerle,4,0.00331,3328,2.75700,120711
107,abhibongale,3,0.00249,3331,2.75948,120711
108,AMacedoP,3,0.00249,3334,2.76197,120711
109,andrew-est,3,0.00249,3337,2.76445,120711
110,aschiefe,3,0.00249,3340,2.76694,120711
111,bigben80,3,0.00249,3343,2.76942,120711
112,Cellebyte,3,0.00249,3346,2.77191,120711
113,chdxD1,3,0.00249,3349,2.77440,120711
114,chenkaigithub,3,0.00249,3352,2.77688,120711
115,chibuikeIg,3,0.00249,3355,2.77937,120711
116,criscola,3,0.00249,3358,2.78185,120711
117,danielkurniadi,3,0.00249,3361,2.78434,120711
118,danish9039,3,0.00249,3364,2.78682,120711
119,JesperAP,3,0.00249,3367,2.78931,120711
120,jgato,3,0.00249,3370,2.79179,120711
121,jparkash2,3,0.00249,3373,2.79428,120711
122,kdknigga,3,0.00249,3376,2.79676,120711
123,KhandelwalSahil,3,0.00249,3379,2.79925,120711
124,leslie-qiwa,3,0.00249,3382,2.80173,120711
125,lklkxcxc,3,0.00249,3385,2.80422,120711
126,lmzuccarelli,3,0.00249,3388,2.80670,120711
127,mgazz,3,0.00249,3391,2.80919,120711
128,n-able-consulting,3,0.00249,3394,2.81167,120711
129,rakeshk121,3,0.00249,3397,2.81416,120711
130,sekharvajjula,3,0.00249,3400,2.81664,120711
131,Shreshta24,3,0.00249,3403,2.81913,120711
132,stannum-l,3,0.00249,3406,2.82162,120711
133,terror96,3,0.00249,3409,2.82410,120711
134,ThoTischner,3,0.00249,3412,2.82659,120711
135,TonyZhang1989,3,0.00249,3415,2.82907,120711
136,wcecs,3,0.00249,3418,2.83156,120711
137,alekhyarani2812,2,0.00166,3420,2.83321,120711
138,biu-hqh,2,0.00166,3422,2.83487,120711
139,Brijeshthummar02,2,0.00166,3424,2.83653,120711
140,c5253458,2,0.00166,3426,2.83818,120711
141,dal00,2,0.00166,3428,2.83984,120711
142,encanto-oss,2,0.00166,3430,2.84150,120711
143,evrardjp-cagip,2,0.00166,3432,2.84315,120711
144,hjensas,2,0.00166,3434,2.84481,120711
145,iamRabia-N,2,0.00166,3436,2.84647,120711
146,iamvikaskumar,2,0.00166,3438,2.84812,120711
147,jharmison-redhat,2,0.00166,3440,2.84978,120711
148,jschoone,2,0.00166,3442,2.85144,120711
149,kashif,2,0.00166,3444,2.85310,120711
150,kotyara85,2,0.00166,3446,2.85475,120711
151,l4z41,2,0.00166,3448,2.85641,120711
152,lieberlois,2,0.00166,3450,2.85807,120711
153,lmiccini,2,0.00166,3452,2.85972,120711
154,lshilin-r,2,0.00166,3454,2.86138,120711
155,maheshd2,2,0.00166,3456,2.86304,120711
156,MakarovskyArthur,2,0.00166,3458,2.86469,120711
157,manojkva,2,0.00166,3460,2.86635,120711
158,mauhau,2,0.00166,3462,2.86801,120711
159,mohammedyusuf380,2,0.00166,3464,2.86966,120711
160,mossad-zika,2,0.00166,3466,2.87132,120711
161,okerekechinweotito,2,0.00166,3468,2.87298,120711
162,omichaeli,2,0.00166,3470,2.87463,120711
163,pallavgupta,2,0.00166,3472,2.87629,120711
164,permissiongranted,2,0.00166,3474,2.87795,120711
165,sere,2,0.00166,3476,2.87961,120711
166,sgoveas,2,0.00166,3478,2.88126,120711
167,shon-phand,2,0.00166,3480,2.88292,120711
168,thevibhu,2,0.00166,3482,2.88458,120711
169,tpaimparay,2,0.00166,3484,2.88623,120711
170,tuminoid2,2,0.00166,3486,2.88789,120711
171,valumar,2,0.00166,3488,2.88955,120711
172,whoami-ops,2,0.00166,3490,2.89120,120711
173,abmoussaoui,1,0.00083,3491,2.89203,120711
174,adrianparks,1,0.00083,3492,2.89286,120711
175,akankshat05,1,0.00083,3493,2.89369,120711
176,albal,1,0.00083,3494,2.89452,120711
177,Alireza-R,1,0.00083,3495,2.89535,120711
178,alknopfler,1,0.00083,3496,2.89617,120711
179,Aryan9592,1,0.00083,3497,2.89700,120711
180,ayushkcs,1,0.00083,3498,2.89783,120711
181,baburciu,1,0.00083,3499,2.89866,120711
182,benjx1990,1,0.00083,3500,2.89949,120711
183,Buttires1984,1,0.00083,3501,2.90032,120711
184,cleitonpena,1,0.00083,3502,2.90114,120711
185,Dimple-dsk,1,0.00083,3503,2.90197,120711
186,dramasamymsft,1,0.00083,3504,2.90280,120711
187,emailallau,1,0.00083,3505,2.90363,120711
188,fazifazi1232,1,0.00083,3506,2.90446,120711
189,filanov,1,0.00083,3507,2.90529,120711
190,francescocappa,1,0.00083,3508,2.90611,120711
191,FruityWelsh,1,0.00083,3509,2.90694,120711
192,gaogao101,1,0.00083,3510,2.90777,120711
193,godfried,1,0.00083,3511,2.90860,120711
194,gomesrup,1,0.00083,3512,2.90943,120711
195,Himani-Raina,1,0.00083,3513,2.91026,120711
196,huaqing1994,1,0.00083,3514,2.91109,120711
197,hustlzp1981,1,0.00083,3515,2.91191,120711
198,ingwies,1,0.00083,3516,2.91274,120711
199,JasonHo420,1,0.00083,3517,2.91357,120711
200,jianhang33,1,0.00083,3518,2.91440,120711
201,jm1,1,0.00083,3519,2.91523,120711
202,JM1,1,0.00083,3520,2.91606,120711
203,kedmison,1,0.00083,3521,2.91688,120711
204,kerus1024,1,0.00083,3522,2.91771,120711
205,Kiriti29,1,0.00083,3523,2.91854,120711
206,kodervine,1,0.00083,3524,2.91937,120711
207,KunalG-Zol,1,0.00083,3525,2.92020,120711
208,kvm99,1,0.00083,3526,2.92103,120711
209,Lesaria,1,0.00083,3527,2.92185,120711
210,leslie-wang,1,0.00083,3528,2.92268,120711
211,LingyanCao,1,0.00083,3529,2.92351,120711
212,lmarti1505,1,0.00083,3530,2.92434,120711
213,mchiappero,1,0.00083,3531,2.92517,120711
214,neelamna,1,0.00083,3532,2.92600,120711
215,Neeraj8418,1,0.00083,3533,2.92683,120711
216,NeilFataway,1,0.00083,3534,2.92765,120711
217,niachary,1,0.00083,3535,2.92848,120711
218,nitendra-thakur,1,0.00083,3536,2.92931,120711
219,nmathew,1,0.00083,3537,2.93014,120711
220,oeuvars,1,0.00083,3538,2.93097,120711
221,payalkanyan,1,0.00083,3539,2.93180,120711
222,PearceDuan,1,0.00083,3540,2.93262,120711
223,premail99,1,0.00083,3541,2.93345,120711
224,qJkee,1,0.00083,3542,2.93428,120711
225,riddhig-coder,1,0.00083,3543,2.93511,120711
226,sachinphogat,1,0.00083,3544,2.93594,120711
227,sanmarg,1,0.00083,3545,2.93677,120711
228,satyamksharma,1,0.00083,3546,2.93759,120711
229,senthilkumarkj,1,0.00083,3547,2.93842,120711
230,shubhamk14,1,0.00083,3548,2.93925,120711
231,SiiriKemppainen,1,0.00083,3549,2.94008,120711
232,snehachavan50,1,0.00083,3550,2.94091,120711
233,ss2901,1,0.00083,3551,2.94174,120711
234,stralex7,1,0.00083,3552,2.94257,120711
235,suhasagasthya,1,0.00083,3553,2.94339,120711
236,szabgab,1,0.00083,3554,2.94422,120711
237,tdomnesc,1,0.00083,3555,2.94505,120711
238,thomascazampoure,1,0.00083,3556,2.94588,120711
239,tmonguillon,1,0.00083,3557,2.94671,120711
240,VicenteHKT,1,0.00083,3558,2.94754,120711
241,vinceaperri,1,0.00083,3559,2.94836,120711
242,vxav,1,0.00083,3560,2.94919,120711
243,WEareONE83,1,0.00083,3561,2.95002,120711
244,yee379,1,0.00083,3562,2.95085,120711
245,YunWZ,1,0.00083,3563,2.95168,120711
