rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,lbroudoux,4046,81.39207,4046,81.39207,4971
2,hguerrero,71,1.42828,4117,82.82036,4971
3,nmasse-itix,48,0.96560,4165,83.78596,4971
4,narioinc,30,0.60350,4195,84.38946,4971
5,195858,29,0.58338,4224,84.97284,4971
6,imod,27,0.54315,4251,85.51599,4971
7,yoadmike,26,0.52303,4277,86.03903,4971
8,john873950,22,0.44257,4299,86.48159,4971
9,tillias,22,0.44257,4321,86.92416,4971
10,jonaslagoni,19,0.38222,4340,87.30638,4971
11,molteninjabob,17,0.34198,4357,87.64836,4971
12,LevinGuy,16,0.32187,4373,87.97023,4971
13,lucamaf,15,0.30175,4388,88.27198,4971
14,aniketvsawant,13,0.26152,4401,88.53349,4971
15,sfraigneau,13,0.26152,4414,88.79501,4971
16,crismarfr,12,0.24140,4426,89.03641,4971
17,fhopfensperger,12,0.24140,4438,89.27781,4971
18,miguelchicoespin,12,0.24140,4450,89.51921,4971
19,dhiemaz,11,0.22128,4461,89.74049,4971
20,aoudiamoncef,9,0.18105,4470,89.92154,4971
21,ChristianHauwert,9,0.18105,4479,90.10260,4971
22,FilipShavash,9,0.18105,4488,90.28365,4971
23,denrolya,8,0.16093,4496,90.44458,4971
24,dorianbrun,8,0.16093,4504,90.60551,4971
25,mhockelberg,8,0.16093,4512,90.76645,4971
26,shavo007,8,0.16093,4520,90.92738,4971
27,yahehe,8,0.16093,4528,91.08831,4971
28,zhushendhh,8,0.16093,4536,91.24925,4971
29,alexespejo,7,0.14082,4543,91.39006,4971
30,carolgschwend,7,0.14082,4550,91.53088,4971
31,meyyazhagan,7,0.14082,4557,91.67170,4971
32,ruromero,7,0.14082,4564,91.81251,4971
33,alexespejoch,6,0.12070,4570,91.93321,4971
34,geekdeb,6,0.12070,4576,92.05391,4971
35,Hassen-BENNOUR,6,0.12070,4582,92.17461,4971
36,jennerEVRFLL,6,0.12070,4588,92.29531,4971
37,kotaanudeep,6,0.12070,4594,92.41601,4971
38,mahgo,6,0.12070,4600,92.53671,4971
39,mhkarimi1383,6,0.12070,4606,92.65741,4971
40,RoopaVenkatesh,6,0.12070,4612,92.77811,4971
41,slessard,6,0.12070,4618,92.89881,4971
42,spencer-cheng,6,0.12070,4624,93.01951,4971
43,zion3mx,6,0.12070,4630,93.14021,4971
44,adrims,5,0.10058,4635,93.24080,4971
45,dicolasi,5,0.10058,4640,93.34138,4971
46,essential-randomness,5,0.10058,4645,93.44196,4971
47,gayanper,5,0.10058,4650,93.54255,4971
48,graydo64,5,0.10058,4655,93.64313,4971
49,haf-tech,5,0.10058,4660,93.74371,4971
50,jonathanvila,5,0.10058,4665,93.84430,4971
51,lahiruk,5,0.10058,4670,93.94488,4971
52,leilaslimani,5,0.10058,4675,94.04546,4971
53,manuel-padovani,5,0.10058,4680,94.14605,4971
54,marsou77,5,0.10058,4685,94.24663,4971
55,mflasquin,5,0.10058,4690,94.34721,4971
56,niraveen,5,0.10058,4695,94.44780,4971
57,NissesSenap,5,0.10058,4700,94.54838,4971
58,cs0978,4,0.08047,4704,94.62885,4971
59,HassanAzam,4,0.08047,4708,94.70931,4971
60,ikanel,4,0.08047,4712,94.78978,4971
61,jorgeromeral,4,0.08047,4716,94.87025,4971
62,matteocastellotti,4,0.08047,4720,94.95071,4971
