rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,Pallavi-PH,1305,0.75853,1305,0.75853,172043
2,openebs-pro-sa,866,0.50336,2171,1.26189,172043
3,satyapriyamishra222,819,0.47604,2990,1.73794,172043
4,rakeshPRaghu,643,0.37374,3633,2.11168,172043
5,tjoshum,271,0.15752,3904,2.26920,172043
6,AJDatacore,228,0.13253,4132,2.40173,172043
7,zeenix,126,0.07324,4258,2.47496,172043
8,yannis218,122,0.07091,4380,2.54588,172043
9,datacore-vkumar,101,0.05871,4481,2.60458,172043
10,vaniisgh,95,0.05522,4576,2.65980,172043
11,vipulgupta2048,93,0.05406,4669,2.71386,172043
12,jamie-0,76,0.04418,4745,2.75803,172043
13,jtcarnes,73,0.04243,4818,2.80046,172043
14,datacore-gthomas,65,0.03778,4883,2.83824,172043
15,nareshdesh,65,0.03778,4948,2.87603,172043
16,praveengt,65,0.03778,5013,2.91381,172043
17,felix1209,62,0.03604,5075,2.94984,172043
18,zlymeda,61,0.03546,5136,2.98530,172043
19,almas33,51,0.02964,5187,3.01494,172043
20,felix1972,48,0.02790,5235,3.04284,172043
21,jnels124,41,0.02383,5276,3.06668,172043
22,NaveenBellary,40,0.02325,5316,3.08993,172043
23,Apollo9999,39,0.02267,5355,3.11259,172043
24,cospotato,39,0.02267,5394,3.13526,172043
25,todeb,39,0.02267,5433,3.15793,172043
26,aamirqs,38,0.02209,5471,3.18002,172043
27,hasethuraman,38,0.02209,5509,3.20211,172043
28,MaisenbacherD,37,0.02151,5546,3.22361,172043
29,wibed,35,0.02034,5581,3.24396,172043
30,AJEETRAI707,34,0.01976,5615,3.26372,172043
31,bhuism,33,0.01918,5648,3.28290,172043
32,Ornias1993,31,0.01802,5679,3.30092,172043
33,vakul-gupta-flp,31,0.01802,5710,3.31894,172043
34,liuminjian,30,0.01744,5740,3.33638,172043
35,harridu,29,0.01686,5769,3.35323,172043
36,jadsy2107,26,0.01511,5795,3.36834,172043
37,stevefan1999-personal,26,0.01511,5821,3.38346,172043
38,akashshah26595,25,0.01453,5846,3.39799,172043
39,allanian,25,0.01453,5871,3.41252,172043
40,bharathpgp,25,0.01453,5896,3.42705,172043
41,lixiaopengxiya,25,0.01453,5921,3.44158,172043
42,cinapm,24,0.01395,5945,3.45553,172043
43,cleveritcz,24,0.01395,5969,3.46948,172043
44,ianb-mp,24,0.01395,5993,3.48343,172043
45,mathagician,24,0.01395,6017,3.49738,172043
46,veenadong,24,0.01395,6041,3.51133,172043
47,keydrevolta,23,0.01337,6064,3.52470,172043
48,maheshreddy7797,23,0.01337,6087,3.53807,172043
49,codegagan,22,0.01279,6109,3.55086,172043
50,itsek,22,0.01279,6131,3.56364,172043
51,kaitaklam,22,0.01279,6153,3.57643,172043
52,pratik97,22,0.01279,6175,3.58922,172043
53,xigifty,22,0.01279,6197,3.60201,172043
54,kaushikp13,21,0.01221,6218,3.61421,172043
55,synthe102,21,0.01221,6239,3.62642,172043
56,vikgaur,21,0.01221,6260,3.63863,172043
57,innotecsol,20,0.01163,6280,3.65025,172043
58,kro-cat,20,0.01163,6300,3.66188,172043
59,MrWako,20,0.01163,6320,3.67350,172043
60,SVronskiy,20,0.01163,6340,3.68513,172043
61,briankmatheson,19,0.01104,6359,3.69617,172043
62,sch00lb0y,19,0.01104,6378,3.70721,172043
63,Daxcor69,18,0.01046,6396,3.71768,172043
64,ryandellolio,18,0.01046,6414,3.72814,172043
65,brute4s99,17,0.00988,6431,3.73802,172043
66,bxy4543,17,0.00988,6448,3.74790,172043
67,dborman-hpe,17,0.00988,6465,3.75778,172043
68,dpisanu,17,0.00988,6482,3.76766,172043
69,dyasny,17,0.00988,6499,3.77754,172043
70,Mosibi,17,0.00988,6516,3.78743,172043
71,rockydcoder,17,0.00988,6533,3.79731,172043
72,artw,16,0.00930,6549,3.80661,172043
73,bilal-mk,16,0.00930,6565,3.81591,172043
74,cbanupama,16,0.00930,6581,3.82521,172043
75,dingsongjie,16,0.00930,6597,3.83451,172043
76,divyanshkul,16,0.00930,6613,3.84381,172043
77,ianroberts,16,0.00930,6629,3.85311,172043
78,mikeBashStuff,16,0.00930,6645,3.86241,172043
79,neoaggelos,16,0.00930,6661,3.87171,172043
80,prratadiya,16,0.00930,6677,3.88101,172043
81,rgembalik,16,0.00930,6693,3.89031,172043
82,StrikerRUS,16,0.00930,6709,3.89961,172043
83,thepriefy,16,0.00930,6725,3.90891,172043
84,windowsrefund,16,0.00930,6741,3.91821,172043
85,Amishakumari544,15,0.00872,6756,3.92693,172043
86,dhs-rec,15,0.00872,6771,3.93564,172043
87,geekyd,15,0.00872,6786,3.94436,172043
88,KevinWhalen,15,0.00872,6801,3.95308,172043
89,laurivosandi,15,0.00872,6816,3.96180,172043
90,njuptlzf,15,0.00872,6831,3.97052,172043
91,ronaldyuwandika,15,0.00872,6846,3.97924,172043
92,SadPandaBear,15,0.00872,6861,3.98796,172043
93,ulshell,15,0.00872,6876,3.99668,172043
94,vyaspranjal33,15,0.00872,6891,4.00539,172043
95,AlexanderHamza,14,0.00814,6905,4.01353,172043
96,jianghushinian,14,0.00814,6919,4.02167,172043
97,jj-2020,14,0.00814,6933,4.02981,172043
98,MengjinWu,14,0.00814,6947,4.03794,172043
99,Naveenkhasyap,14,0.00814,6961,4.04608,172043
100,nvzard,14,0.00814,6975,4.05422,172043
101,rafa-acioly,14,0.00814,6989,4.06236,172043
102,rafihnl,14,0.00814,7003,4.07049,172043
103,sushiMix,14,0.00814,7017,4.07863,172043
104,Yaxian,14,0.00814,7031,4.08677,172043
105,anuragsachdeva28,13,0.00756,7044,4.09433,172043
106,AshishMhrzn10,13,0.00756,7057,4.10188,172043
107,ferozbaig96,13,0.00756,7070,4.10944,172043
108,harisanker1780,13,0.00756,7083,4.11699,172043
109,houwenchen,13,0.00756,7096,4.12455,172043
110,jsalatiel,13,0.00756,7109,4.13211,172043
111,kichloo,13,0.00756,7122,4.13966,172043
112,prankshaw,13,0.00756,7135,4.14722,172043
113,sharur7,13,0.00756,7148,4.15478,172043
114,swetax,13,0.00756,7161,4.16233,172043
115,wataruian,13,0.00756,7174,4.16989,172043
116,actions,12,0.00698,7186,4.17686,172043
117,AlexanderDotH,12,0.00698,7198,4.18384,172043
118,fzyzcjy,12,0.00698,7210,4.19081,172043
119,gupta2140,12,0.00698,7222,4.19779,172043
120,infiniteoverflow,12,0.00698,7234,4.20476,172043
121,krishnakarthik1309,12,0.00698,7246,4.21174,172043
122,kundeng,12,0.00698,7258,4.21871,172043
123,maikotz,12,0.00698,7270,4.22569,172043
124,NerdyPepper,12,0.00698,7282,4.23266,172043
125,pando85,12,0.00698,7294,4.23964,172043
126,Skchoudhary,12,0.00698,7306,4.24661,172043
127,solarisfire,12,0.00698,7318,4.25359,172043
128,sushma1118,12,0.00698,7330,4.26056,172043
129,wowditi,12,0.00698,7342,4.26754,172043
130,abhisheksinghbaghel,11,0.00639,7353,4.27393,172043
131,AChangFeng,11,0.00639,7364,4.28033,172043
132,ananbas,11,0.00639,7375,4.28672,172043
133,dcaputo-harmoni,11,0.00639,7386,4.29311,172043
134,drraghavendra,11,0.00639,7397,4.29951,172043
135,Ericra95,11,0.00639,7408,4.30590,172043
136,lisaychuang,11,0.00639,7419,4.31229,172043
