rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,recharte,2754,15.41389,2754,15.41389,17867
2,fabio-silva,1815,10.15839,4569,25.57228,17867
3,oksana-grishchenko,1755,9.82258,6324,35.39486,17867
4,fabiodcasilva,1728,9.67146,8052,45.06632,17867
5,tplavcic,1251,7.00174,9303,52.06806,17867
6,dianabirs,1096,6.13421,10399,58.20227,17867
7,solovevayaroslavna,876,4.90289,11275,63.10517,17867
8,,448,2.50742,11723,65.61258,17867
9,michal-kralik,417,2.33391,12140,67.94649,17867
10,chilagrow,190,1.06341,12330,69.00991,17867
11,Tikdev00,172,0.96267,12502,69.97258,17867
12,browseman,92,0.51492,12594,70.48749,17867
13,filipmikes1,54,0.30223,12648,70.78972,17867
14,maxkondr,48,0.26865,12696,71.05838,17867
15,alexander72,36,0.20149,12732,71.25986,17867
16,mayankshah1607,22,0.12313,12754,71.38300,17867
17,Daninda,17,0.09515,12771,71.47814,17867
18,rasika-chivate,15,0.08395,12786,71.56210,17867
19,X6uddy,11,0.06157,12797,71.62366,17867
20,MarcusPercona,10,0.05597,12807,71.67963,17867
21,kjordan2001,9,0.05037,12816,71.73001,17867
22,pvstekunov,9,0.05037,12825,71.78038,17867
23,telderfts,9,0.05037,12834,71.83075,17867
24,gwozdzm,8,0.04478,12842,71.87552,17867
25,mchawla16,8,0.04478,12850,71.92030,17867
26,santachago,8,0.04478,12858,71.96508,17867
27,PeterSzcz,7,0.03918,12865,72.00425,17867
28,fideloper,6,0.03358,12871,72.03784,17867
29,oavril,6,0.03358,12877,72.07142,17867
30,rojinebrahimi,6,0.03358,12883,72.10500,17867
31,atharmahboob,5,0.02798,12888,72.13298,17867
32,candido-da-silva,5,0.02798,12893,72.16097,17867
33,it-percona,5,0.02798,12898,72.18895,17867
34,nvsajeeva,5,0.02798,12903,72.21694,17867
35,aurimasniekis,4,0.02239,12907,72.23932,17867
36,dbazhenov,4,0.02239,12911,72.26171,17867
37,george-pogosyan,4,0.02239,12915,72.28410,17867
38,himanshu-ntml,4,0.02239,12919,72.30649,17867
39,matejkubinec,4,0.02239,12923,72.32887,17867
40,an-toine,3,0.01679,12926,72.34567,17867
41,atchadwick,3,0.01679,12929,72.36246,17867
42,kekdl,3,0.01679,12932,72.37925,17867
43,lars301,3,0.01679,12935,72.39604,17867
44,puneet0191,3,0.01679,12938,72.41283,17867
45,aElDi,2,0.01119,12940,72.42402,17867
46,alissonduck,2,0.01119,12942,72.43522,17867
47,Ankit152,2,0.01119,12944,72.44641,17867
48,btzq,2,0.01119,12946,72.45760,17867
49,efimkin,2,0.01119,12948,72.46880,17867
50,estromenko,2,0.01119,12950,72.47999,17867
51,fabiobatsilva,2,0.01119,12952,72.49118,17867
52,gitbarnabedikartola,2,0.01119,12954,72.50238,17867
53,muhammadhur2,2,0.01119,12956,72.51357,17867
54,musoles,2,0.01119,12958,72.52477,17867
55,rgmekala,2,0.01119,12960,72.53596,17867
56,sindef,2,0.01119,12962,72.54715,17867
57,tasosbeast,2,0.01119,12964,72.55835,17867
58,ahmadamirahmadi007,1,0.00560,12965,72.56394,17867
59,Amin-mashari,1,0.00560,12966,72.56954,17867
60,Bored0ne,1,0.00560,12967,72.57514,17867
61,bylee5,1,0.00560,12968,72.58074,17867
62,calvinps,1,0.00560,12969,72.58633,17867
63,dan-prada-effecti,1,0.00560,12970,72.59193,17867
64,davidecelano,1,0.00560,12971,72.59753,17867
65,edithturn,1,0.00560,12972,72.60312,17867
66,EvaBnd,1,0.00560,12973,72.60872,17867
67,fhmlsml,1,0.00560,12974,72.61432,17867
68,gokulkgm,1,0.00560,12975,72.61991,17867
69,hco125,1,0.00560,12976,72.62551,17867
70,hekuranhoxha,1,0.00560,12977,72.63111,17867
71,internetuser2008,1,0.00560,12978,72.63670,17867
72,it-percona-cla,1,0.00560,12979,72.64230,17867
73,jhuynh08,1,0.00560,12980,72.64790,17867
74,KellyCliffe,1,0.00560,12981,72.65350,17867
75,klaoslacerda,1,0.00560,12982,72.65909,17867
76,KlementMultiverse,1,0.00560,12983,72.66469,17867
77,kylemclaren,1,0.00560,12984,72.67029,17867
78,lalitvc,1,0.00560,12985,72.67588,17867
79,lhinojosa920,1,0.00560,12986,72.68148,17867
80,maamoon95,1,0.00560,12987,72.68708,17867
81,olexiyb,1,0.00560,12988,72.69267,17867
82,ongdisheng,1,0.00560,12989,72.69827,17867
83,ryanzhou,1,0.00560,12990,72.70387,17867
84,tjtanjin,1,0.00560,12991,72.70946,17867
85,utdrmac,1,0.00560,12992,72.71506,17867
86,vinokrishna,1,0.00560,12993,72.72066,17867
87,wuast94,1,0.00560,12994,72.72626,17867
88,wwoytenko,1,0.00560,12995,72.73185,17867
