rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,opentofu-provider-sync-service-account,6497,11.72109,6497,11.72109,55430
2,cam72cam,6186,11.16002,12683,22.88111,55430
3,Yantrio,3639,6.56504,16322,29.44615,55430
4,ollevche,2420,4.36587,18742,33.81202,55430
5,cube2222,2042,3.68393,20784,37.49594,55430
6,modular-magician,2012,3.62980,22796,41.12574,55430
7,janosdebugs,1839,3.31770,24635,44.44344,55430
8,apparentlymart,1834,3.30868,26469,47.75212,55430
9,yottta,1260,2.27314,27729,50.02526,55430
10,mbialon,1235,2.22804,28964,52.25329,55430
11,DicsyDel,1132,2.04222,30096,54.29551,55430
12,RLRabinowitz,1047,1.88887,31143,56.18438,55430
13,Evi1Pumpkin,946,1.70666,32089,57.89103,55430
14,diofeher,919,1.65795,33008,59.54898,55430
15,flavius-dinu,898,1.62006,33906,61.16904,55430
16,eranelbaz,793,1.43063,34699,62.59968,55430
17,kislerdm,676,1.21956,35375,63.81923,55430
18,damianstasik,508,0.91647,35883,64.73570,55430
19,omry-hay,483,0.87137,36366,65.60707,55430
20,Gogotchuri,452,0.81544,36818,66.42251,55430
21,tomasmik,374,0.67472,37192,67.09724,55430
22,siddharthasonker95,330,0.59535,37522,67.69259,55430
23,jar-b,222,0.40051,37744,68.09309,55430
24,Andrew-Hayes,210,0.37886,37954,68.47195,55430
25,stephybun,191,0.34458,38145,68.81653,55430
26,katbyte,180,0.32473,38325,69.14126,55430
27,johnsonaj,166,0.29948,38491,69.44074,55430
28,yaronya,163,0.29406,38654,69.73480,55430
29,gdavison,161,0.29046,38815,70.02526,55430
30,aramilialon,151,0.27242,38966,70.29767,55430
31,YakDriver,146,0.26340,39112,70.56107,55430
32,SebastianStadil,142,0.25618,39254,70.81725,55430
33,brikis98,132,0.23814,39386,71.05539,55430
34,sanskruti-shahu,128,0.23092,39514,71.28631,55430
35,jackofallops,126,0.22731,39640,71.51362,55430
36,roni-frantchi,126,0.22731,39766,71.74093,55430
37,team-tf-cdk,118,0.21288,39884,71.95382,55430
38,catriona-m,115,0.20747,39999,72.16128,55430
39,hc-github-team-tf-provider-devex,112,0.20206,40111,72.36334,55430
40,skyzyx,107,0.19304,40218,72.55638,55430
41,austinvalle,101,0.18221,40319,72.73859,55430
42,Hefeweizen,99,0.17860,40418,72.91719,55430
43,abstractionfactory,97,0.17500,40515,73.09219,55430
44,FraneCaleta,95,0.17139,40610,73.26358,55430
45,Roma36,95,0.17139,40705,73.43496,55430
46,serdardalgic,94,0.16958,40799,73.60455,55430
47,chenzejun,88,0.15876,40887,73.76331,55430
48,justinretzolk,88,0.15876,40975,73.92206,55430
49,SypherSP,88,0.15876,41063,74.08082,55430
50,teowa,87,0.15695,41150,74.23778,55430
51,bunniseng,85,0.15335,41235,74.39112,55430
52,sinbai,82,0.14793,41317,74.53906,55430
53,acwwat,79,0.14252,41396,74.68158,55430
54,brandonc,77,0.13891,41473,74.82049,55430
55,Ericwww,77,0.13891,41550,74.95941,55430
56,mikelolasagasti,75,0.13531,41625,75.09471,55430
57,haiderbari,72,0.12989,41697,75.22461,55430
58,wuxu92,72,0.12989,41769,75.35450,55430
59,magodo,70,0.12629,41839,75.48079,55430
60,breathingdust,69,0.12448,41908,75.60527,55430
61,ms-henglu,68,0.12268,41976,75.72795,55430
62,namgyalangmo,66,0.11907,42042,75.84701,55430
63,eduzgun,65,0.11727,42107,75.96428,55430
64,ziyeqf,64,0.11546,42171,76.07974,55430
65,bflad,62,0.11185,42233,76.19159,55430
66,virtualroot,62,0.11185,42295,76.30345,55430
67,orbitz,61,0.11005,42356,76.41349,55430
68,StephanHCB,60,0.10824,42416,76.52174,55430
69,Kazzhar,59,0.10644,42475,76.62818,55430
70,alexott,55,0.09922,42530,76.72740,55430
71,IgnorantSapient,55,0.09922,42585,76.82663,55430
72,ipolyzos,55,0.09922,42640,76.92585,55430
73,mattburgess,54,0.09742,42694,77.02327,55430
74,sreallymatt,51,0.09201,42745,77.11528,55430
75,rumenvasilev,48,0.08660,42793,77.20188,55430
76,yhakbar,47,0.08479,42840,77.28667,55430
77,nitrocode,43,0.07758,42883,77.36424,55430
78,stefanfreitag,43,0.07758,42926,77.44182,55430
79,wojciech12,43,0.07758,42969,77.51939,55430
80,yindia,43,0.07758,43012,77.59697,55430
81,ImIOImI,41,0.07397,43053,77.67094,55430
82,melinath,41,0.07397,43094,77.74490,55430
83,jiaweitao001,40,0.07216,43134,77.81707,55430
84,Magnitus-,40,0.07216,43174,77.88923,55430
85,WodansSon,40,0.07216,43214,77.96139,55430
86,nam054,38,0.06855,43252,78.02995,55430
87,rdhar,38,0.06855,43290,78.09850,55430
88,Klopklopi,37,0.06675,43327,78.16525,55430
89,SarahFrench,37,0.06675,43364,78.23200,55430
90,DanielRieske,36,0.06495,43400,78.29695,55430
91,ms-zhenhua,36,0.06495,43436,78.36190,55430
92,josh-padnick,35,0.06314,43471,78.42504,55430
93,nikhil-goenka,35,0.06314,43506,78.48818,55430
94,oprudkyi,35,0.06314,43541,78.55133,55430
95,jamesgeddes,34,0.06134,43575,78.61266,55430
96,MatthewJohn,32,0.05773,43607,78.67040,55430
97,xiaxyi,29,0.05232,43636,78.72271,55430
