rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,steiler,1892,37.54713,1892,37.54713,5039
2,hansthienpondt,748,14.84422,2640,52.39135,5039
3,alexandernorth,457,9.06926,3097,61.46061,5039
4,severindellsperger,88,1.74638,3185,63.20699,5039
5,karimra,70,1.38916,3255,64.59615,5039
6,faebr,19,0.37706,3274,64.97321,5039
7,frederic-loui,15,0.29768,3289,65.27089,5039
8,reinaldosaraiva,11,0.21830,3300,65.48918,5039
9,,10,0.19845,3310,65.68764,5039
10,markafarrell,9,0.17861,3319,65.86624,5039
11,francoisdeturenne,8,0.15876,3327,66.02500,5039
12,iptecharch-builder,8,0.15876,3335,66.18377,5039
13,jerem0808,7,0.13892,3342,66.32268,5039
14,melheithem,7,0.13892,3349,66.46160,5039
15,dpeachey,4,0.07938,3353,66.54098,5039
16,bstoll,3,0.05954,3356,66.60052,5039
17,shrey-gang,3,0.05954,3359,66.66005,5039
18,giacoliva,2,0.03969,3361,66.69974,5039
19,reto-hasler,2,0.03969,3363,66.73943,5039
20,ScottS-Syd,2,0.03969,3365,66.77912,5039
21,asciich,1,0.01985,3366,66.79897,5039
22,kindredfury,1,0.01985,3367,66.81881,5039
23,mfzhsn,1,0.01985,3368,66.83866,5039
24,patrick-lenherr-ost,1,0.01985,3369,66.85850,5039
25,Tanujabais123,1,0.01985,3370,66.87835,5039
26,vani-gyger,1,0.01985,3371,66.89819,5039
