rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,gntouts,965,39.24359,965,39.24359,2459
2,cmainas,750,30.50020,1715,69.74380,2459
3,ananos,637,25.90484,2352,95.64864,2459
4,DeftaSebastian,23,0.93534,2375,96.58398,2459
5,johnp41,17,0.69134,2392,97.27532,2459
6,parasitid,17,0.69134,2409,97.96665,2459
7,bmutziu,14,0.56934,2423,98.53599,2459
8,gkoletsos,13,0.52867,2436,99.06466,2459
9,SCWebenizer,7,0.28467,2443,99.34933,2459
10,alanpjohn,4,0.16267,2447,99.51200,2459
11,nanosnetorg,4,0.16267,2451,99.67466,2459
12,rizo,2,0.08133,2453,99.75600,2459
13,ciprian-barbu,1,0.04067,2454,99.79667,2459
14,FabrizioValenti,1,0.04067,2455,99.83733,2459
15,Firobe,1,0.04067,2456,99.87800,2459
16,rinor,1,0.04067,2457,99.91867,2459
