rank_number,actor,contributions,percent,cumulative_sum,cumulative_percent,all_contributions
1,YJDoc2,2258,16.69995,2258,16.69995,13521
2,Furisto,1390,10.28030,3648,26.98025,13521
3,yihuaf,1230,9.09696,4878,36.07721,13521
4,tsturzl,251,1.85637,5129,37.93358,13521
5,lengrongfu,135,0.99845,5264,38.93203,13521
6,Gekko0114,128,0.94668,5392,39.87871,13521
7,tommady,81,0.59907,5473,40.47778,13521
8,nimrodshn,80,0.59167,5553,41.06945,13521
9,unknowndevQwQ,67,0.49553,5620,41.56497,13521
10,guni1192,65,0.48073,5685,42.04571,13521
11,anti-entropy123,64,0.47334,5749,42.51904,13521
12,musaprg,63,0.46594,5812,42.98499,13521
13,omprakaash,51,0.37719,5863,43.36218,13521
14,higuruchi,49,0.36240,5912,43.72458,13521
15,Mossaka,48,0.35500,5960,44.07958,13521
16,zahash,44,0.32542,6004,44.40500,13521
17,cr0ax,39,0.28844,6043,44.69344,13521
18,zidoshare,33,0.24406,6076,44.93750,13521
19,nayuta-ai,28,0.20709,6104,45.14459,13521
20,ferrell-code,23,0.17011,6127,45.31470,13521
21,chermehdi,22,0.16271,6149,45.47741,13521
22,minakawa-daiki,22,0.16271,6171,45.64012,13521
23,squili,21,0.15531,6192,45.79543,13521
24,posutsai,20,0.14792,6212,45.94335,13521
25,mitnk,19,0.14052,6231,46.08387,13521
26,gattytto,18,0.13313,6249,46.21700,13521
27,cyyzero,17,0.12573,6266,46.34273,13521
28,DarrellTang,16,0.11833,6282,46.46106,13521
29,sat0ken,16,0.11833,6298,46.57940,13521
30,bestgopher,15,0.11094,6313,46.69033,13521
31,kemkemG0,14,0.10354,6327,46.79388,13521
32,tony84727,14,0.10354,6341,46.89742,13521
33,fengxsong,13,0.09615,6354,46.99357,13521
34,adrianalin,12,0.08875,6366,47.08232,13521
35,PeterYordanov,12,0.08875,6378,47.17107,13521
36,keisku,11,0.08135,6389,47.25242,13521
37,taiki-e,11,0.08135,6400,47.33378,13521
38,Will-Shanks,11,0.08135,6411,47.41513,13521
39,Ian-Yy,10,0.07396,6421,47.48909,13521
40,jhult,10,0.07396,6431,47.56305,13521
